AK,0,0
WA,1,1
MT,3,1
ND,5,1
MN,6,1
WI,7,1
MI,8,1
NY,9,1
VT,10,1
NH,11,1
MA,12,1
ME,13,1
OR,1,2
ID,2,2
WY,3,2
SD,5,2
IA,6,2
IL,7,2
IN,8,2
OH,9,2
PA,10,2
NJ,11,2
CT,12,2
RI,13,2
CA,1,3
NV,2,3
UT,3,3
CO,4,3
NE,5,3
MO,6,3
KY,8,3
WV,9,3
VA,10,3
MD,11,3
DE,12,3
AZ,3,4
NM,4,4
KS,5,4
AK,6,4
TN,8,4
NC,10,4
HI,0,5
TX,4,5
OK,5,5
LA,6,5
MS,7,5
AL,8,5
GA,9,5
SC,10,5
FJ,11,5
